Product Name,Product Type,Origin Location,Destination Location,Transportation Mode,Departure Date,Arrival Date,Distance (in miles),Fuel Consumption (in gallons),CO2 Emissions (in kg),Transport Cost (in dollars),Compliance Status,Maintenance Status,Weather Conditions,Route Optimization Details,Quantity,Revenue,Temperature,Humidity,Soil Moisture,Pest Incidents,Transportation Mode (2),Distance Traveled,Date,Quarter,Year
Carrots,Meat,Farm E,Retailer A,Ship,2023-08-26,2023-10-17,34,29.91461207455769,5.411912304995217,950.2007396871385,Yes,Poor,Cloudy,Route D,70,5703.585792942406,92.4800191078979,72.6631111223326,52.418485038240696,3,Ship,96,2023-02-10,Q2,2022
Chicken,Fruit,Farm B,Retailer C,Train,2023-04-27,2023-12-11,384,28.50085140077671,17.82731435606243,212.87078787191663,Yes,Fair,Cloudy,Route D,94,6132.455995216609,77.05298705171491,73.31853543681149,51.540800394421744,1,Truck,299,2023-05-28,Q1,2022
Bananas,Vegetable,Farm C,Retailer E,Train,2023-09-17,2023-07-28,11,19.600254850569158,2.74732483979765,998.8102492950816,Yes,Fair,Cloudy,Route E,93,6199.363287749519,53.69780795379263,51.072535050949654,48.49725892873527,4,Truck,355,2023-11-10,Q3,2022
Broccoli,Poultry,Farm D,Retailer C,Train,2023-05-09,2023-06-13,491,14.168720479536676,5.0898363239031195,285.7424670364624,Yes,Good,Windy,Route A,44,9560.12935994168,88.09159232055438,36.010681005765065,66.90755879310593,0,Train,463,2023-02-20,Q4,2022
Strawberries,Fruit,Farm A,Retailer C,Truck,2023-10-28,2023-05-26,357,48.71725790789552,13.332217988690243,335.5463158972488,Yes,Fair,Windy,Route A,91,3796.632041658967,61.38592033239807,59.18568785523035,36.72131719313528,0,Truck,127,2023-10-19,Q1,2023
Broccoli,Fruit,Farm B,Retailer A,Truck,2023-06-26,2023-09-09,155,7.146181053978395,16.219941103791637,114.72198202963523,No,Fair,Rainy,Route D,16,9615.787737465327,59.98503342179792,46.90920757578825,14.012030086944714,4,Train,129,2023-12-11,Q4,2022
Broccoli,Poultry,Farm D,Retailer A,Truck,2023-09-07,2023-06-19,261,14.243987720676165,3.823376521245102,222.89451531827848,Yes,Good,Windy,Route B,17,7364.649335852446,52.42419172186595,68.68490745992695,44.82475318351207,2,Train,173,2023-10-23,Q4,2023
Potatoes,Poultry,Farm D,Retailer A,Ship,2023-09-30,2023-01-18,362,13.23060674996498,16.56542159949575,233.9811952098954,Yes,Good,Windy,Route B,12,4310.309060765911,69.02926637625933,66.34289364058296,65.34470018045448,1,Ship,454,2023-05-17,Q4,2022
Bananas,Vegetable,Farm E,Retailer A,Train,2023-08-03,2023-02-16,229,21.722587797438997,11.401274257021127,169.2900803495622,No,Poor,Windy,Route C,34,5924.796213411115,68.90548258865039,78.92660626223444,66.77366081465757,0,Truck,441,2023-06-28,Q1,2023
Beef,Seafood,Farm A,Retailer C,Train,2023-09-09,2023-10-11,128,41.7288619763926,9.060554096077704,781.38568357726,Yes,Fair,Rainy,Route D,17,1145.9561350076578,58.32837383467073,76.25379670673567,19.52893553734156,1,Truck,143,2023-04-26,Q1,2022
Beef,Vegetable,Farm B,Retailer B,Ship,2023-03-18,2023-12-22,116,7.942269859226014,17.236419039602833,293.6433632329381,Yes,Good,Cloudy,Route C,29,5444.1610036805805,71.64714767428733,52.80774423608049,67.64405455934366,1,Ship,400,2023-08-22,Q3,2023
Carrots,Poultry,Farm A,Retailer B,Truck,2023-09-03,2023-02-03,83,26.62144694763268,8.81200116404604,432.0920478710958,No,Fair,Sunny,Route D,61,1673.7074629214917,57.722644456761,77.91000897510136,33.754474916056616,2,Train,428,2023-05-25,Q1,2023
Strawberries,Fruit,Farm D,Retailer C,Ship,2023-01-04,2023-07-02,393,44.12284070780758,3.821260534930461,973.701596741823,Yes,Fair,Cloudy,Route B,77,2156.0499009000205,94.27926355795128,23.80011645575608,21.766437487913244,0,Train,207,2023-02-16,Q4,2023
Oranges,Fruit,Farm B,Retailer A,Train,2023-01-19,2023-02-16,71,9.388369582489537,6.182373910761496,152.0178727800019,Yes,Poor,Cloudy,Route E,73,9937.95455402005,95.13183399291755,38.194811235695575,16.788604989522113,0,Truck,244,2023-11-18,Q4,2022
Beef,Seafood,Farm D,Retailer A,Train,2023-05-19,2023-08-28,99,41.94802660331526,9.58153583899535,231.98880837445685,No,Fair,Rainy,Route B,75,9405.746049816067,88.63664145908962,37.20141708395739,51.051500812525575,4,Ship,264,2023-04-28,Q3,2023
Carrots,Poultry,Farm E,Retailer D,Truck,2023-07-08,2023-08-31,357,15.28855437888679,11.73315606822795,245.54655974518246,Yes,Poor,Cloudy,Route A,45,3897.584072251218,81.33856395855813,38.51211498404207,16.485261628882633,0,Truck,389,2023-08-11,Q1,2022
Carrots,Vegetable,Farm B,Retailer A,Truck,2023-07-26,2023-03-31,57,45.62467893999007,13.064219805662947,248.8967628198419,Yes,Poor,Windy,Route D,56,5874.508058984426,81.81143615923385,66.62000786858178,30.201384772807454,3,Ship,429,2023-04-27,Q3,2022
Potatoes,Fruit,Farm B,Retailer A,Truck,2023-11-28,2023-03-01,128,47.34873985650301,15.605142246884585,489.8172849878742,Yes,Poor,Windy,Route A,96,2752.915203789363,93.0868537611424,44.13734431917542,51.20354343809751,4,Train,172,2023-07-11,Q2,2022
Broccoli,Vegetable,Farm D,Retailer B,Ship,2023-03-05,2023-03-07,135,30.40617265476668,8.345009979060398,461.83803856276825,Yes,Poor,Rainy,Route A,41,8326.06087868716,99.669095982294,72.29394763375089,40.07518278065099,1,Ship,141,2023-11-17,Q1,2022
Apples,Poultry,Farm C,Retailer B,Truck,2023-07-25,2023-10-07,191,29.694193552886414,1.6257235202087168,519.4154564233099,No,Fair,Rainy,Route E,82,2172.725896091137,55.894020037786404,55.08458929901959,41.10481129905566,0,Train,252,2023-01-21,Q2,2023
Orange,Fruit,Farm A,Retailer D,Train,2023-01-22,2023-01-30,1120,24,12,234,Yes,Good,Rainy,Route D,3467,10000,23,12,12,1,Train,567,2022-12-20,Q4,2022
Mango,Fruit,Farm B,Retailer E,Truck,2024-01-23,2024-01-30,5000,24,12,,Yes,Good,Sunny,Route A,3467,10000,23,12,12,1,Train,567,2022-12-20,O3,2023
Orange,Fruit,Farm A,Retailer D,Train,2023-01-22,2024-01-30,5000,24,12,234,Yes,Good,Rainy,Route D,3467,10000,23,11,12,3,Train,123,2022-12-20,Q4,2022
,,,,,,,,,,,,,,,,,,,,,,,,,
